# frame slotsLen hsa hsub stalled scanIdx slots offsets shot2 rollback
118 2 1 54 0 0 [50] [0,0] [00] [0,0]
119 2 1 55 0 0 [50] [0,0] [00] [0,0]
120 2 1 56 0 0 [50] [0,0] [00] [0,0]
121 2 1 57 0 0 [50] [0,0] [00] [0,0]
122 2 1 58 0 0 [50] [0,0] [00] [0,0]
123 2 1 59 0 0 [50] [0,0] [00] [0,0]
124 2 1 60 0 0 [50] [0,0] [00] [0,0]
125 2 1 61 0 0 [50] [0,0] [00] [0,0]
126 2 1 62 0 0 [50] [0,0] [00] [0,0]
127 2 1 63 0 0 [50] [0,0] [00] [0,0]
128 2 2 0 0 0 [50] [0,0] [00] [0,0]
129 3 2 1 0 0 [500] [0,0,0] [000] [0,0,0]
130 3 2 2 0 0 [500] [0,0,0] [000] [0,0,0]
131 3 2 3 0 0 [500] [0,0,0] [000] [0,0,0]
132 3 2 4 0 0 [500] [0,0,0] [000] [0,0,0]
133 3 2 5 0 0 [500] [0,0,0] [000] [0,0,0]
134 3 2 6 0 0 [500] [0,0,0] [000] [0,0,0]
135 3 2 7 0 0 [500] [0,0,0] [000] [0,0,0]
136 3 2 8 0 0 [500] [0,0,0] [000] [0,0,0]
137 3 2 9 0 0 [500] [0,0,0] [000] [0,0,0]
138 3 2 10 0 0 [500] [0,0,0] [000] [0,0,0]
139 3 2 11 0 0 [500] [0,0,0] [000] [0,0,0]
140 3 2 12 0 0 [500] [0,0,0] [000] [0,0,0]
141 3 2 13 0 0 [500] [0,0,0] [000] [0,0,0]
142 3 2 14 0 0 [500] [0,0,0] [000] [0,0,0]
143 3 2 15 0 0 [500] [0,0,0] [000] [0,0,0]
144 3 2 16 0 0 [500] [0,0,0] [000] [0,0,0]
145 3 2 17 0 0 [500] [0,0,0] [000] [0,0,0]
146 3 2 18 0 0 [500] [0,0,0] [000] [0,0,0]
147 3 2 19 0 0 [500] [0,0,0] [000] [0,0,0]
148 3 2 20 0 0 [500] [0,0,0] [000] [0,0,0]
149 3 2 21 0 0 [500] [0,0,0] [000] [0,0,0]
150 3 2 22 0 0 [500] [0,0,0] [000] [0,0,0]
151 3 2 23 0 0 [500] [0,0,0] [000] [0,0,0]
152 3 2 24 0 0 [500] [0,0,0] [000] [0,0,0]
153 3 2 25 0 0 [500] [0,0,0] [000] [0,0,0]
154 3 2 26 0 0 [500] [0,0,0] [000] [0,0,0]
155 3 2 27 0 0 [500] [0,0,0] [000] [0,0,0]
156 3 2 28 0 0 [500] [0,0,0] [000] [0,0,0]
157 3 2 29 0 0 [500] [0,0,0] [000] [0,0,0]
158 3 2 30 0 0 [500] [0,0,0] [000] [0,0,0]
159 3 2 31 0 0 [500] [0,0,0] [000] [0,0,0]
160 3 2 32 0 0 [500] [0,0,0] [000] [0,0,0]
161 3 2 33 0 0 [500] [0,0,0] [000] [0,0,0]
162 3 2 34 0 0 [500] [0,0,0] [000] [0,0,0]
163 3 2 35 0 0 [500] [0,0,0] [000] [0,0,0]
164 3 2 36 0 0 [500] [0,0,0] [000] [0,0,0]
165 3 2 37 0 0 [500] [0,0,0] [000] [0,0,0]
166 3 2 38 0 0 [500] [0,0,0] [000] [0,0,0]
167 3 2 39 0 0 [500] [0,0,0] [000] [0,0,0]
168 3 2 40 0 0 [500] [0,0,0] [000] [0,0,0]
169 3 2 41 0 0 [500] [0,0,0] [000] [0,0,0]
170 3 2 42 0 0 [500] [0,0,0] [000] [0,0,0]
171 3 2 43 0 0 [500] [0,0,0] [000] [0,0,0]
172 3 2 44 0 0 [500] [0,0,0] [000] [0,0,0]
173 3 2 45 0 0 [500] [0,0,0] [000] [0,0,0]
174 3 2 46 0 0 [500] [0,0,0] [000] [0,0,0]
175 3 2 47 0 0 [500] [0,0,0] [000] [0,0,0]
176 3 2 48 0 0 [500] [0,0,0] [000] [0,0,0]
177 3 2 49 0 0 [500] [0,0,0] [000] [0,0,0]
178 3 2 50 0 0 [500] [0,0,0] [000] [0,0,0]
179 3 2 51 0 0 [500] [0,0,0] [000] [0,0,0]
180 3 2 52 0 0 [500] [0,0,0] [000] [0,0,0]
181 3 2 53 0 0 [500] [0,0,0] [000] [0,0,0]
182 3 2 54 0 0 [500] [0,0,0] [000] [0,0,0]
183 3 2 55 0 0 [500] [0,0,0] [000] [0,0,0]
184 3 2 56 0 0 [500] [0,0,0] [000] [0,0,0]
185 3 2 57 0 0 [500] [0,0,0] [000] [0,0,0]
186 3 2 58 0 0 [500] [0,0,0] [000] [0,0,0]
187 3 2 59 0 0 [500] [0,0,0] [000] [0,0,0]
188 3 2 60 0 0 [500] [0,0,0] [000] [0,0,0]
189 3 2 61 0 0 [500] [0,0,0] [000] [0,0,0]
190 3 2 62 0 0 [500] [0,0,0] [000] [0,0,0]
191 3 2 63 0 0 [500] [0,0,0] [000] [0,0,0]
192 3 3 0 0 0 [500] [0,0,0] [000] [0,0,0]
193 4 3 1 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
194 4 3 2 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
195 4 3 3 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
196 4 3 4 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
197 4 3 5 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
198 4 3 6 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
199 4 3 7 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
200 4 3 8 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
201 4 3 9 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
202 4 3 10 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
203 4 3 11 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
204 4 3 12 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
205 4 3 13 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
206 4 3 14 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
207 4 3 15 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
208 4 3 16 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
209 4 3 17 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
210 4 3 18 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
211 4 3 19 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
212 4 3 20 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
213 4 3 21 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
214 4 3 22 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
215 4 3 23 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
216 4 3 24 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
217 4 3 25 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
218 4 3 26 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
219 4 3 27 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
220 4 3 28 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
